доля ошибок для обучения в % : 0.22666666666666668
доля ошибок для test в %: 0.5333333333333333

по итогам анализа использую модель : RandomForestRegressor( n_estimators=50, random_state=1) # случайный лес
гипер-параметры настроены без особого упорства, главное был выбор схемы обработки результатов регрессора в классификатор, обработка входов - полиномизация (2 порядок), как результат анализа нескольких моделей предобработки 
             A            B                     C                 target_rez                my_rez
 A:-567.8393454870165  B:386.0882655481941  C:794.8447421332621  y_true:гипер.  y_pred:гипер.
 A:724.8310840140196  B:-481.0179647594639  C:442.2086654493438  y_true:эллипс  y_pred:эллипс
 A:778.0822819736533  B:-895.2289059827723  C:543.348779368635  y_true:гипер.  y_pred:гипер.
 A:-940.8655287951029  B:280.79922599504937  C:-976.1285586005231  y_true:эллипс  y_pred:эллипс
 A:-446.4460984278327  B:-519.9726841098344  C:661.4301312258879  y_true:гипер.  y_pred:гипер.
 A:127.05730026790674  B:-856.3302923031051  C:-22.230527577107306  y_true:гипер.  y_pred:гипер.
 A:406.4511010010774  B:905.1843155934503  C:459.442566847956  y_true:гипер.  y_pred:гипер.
 A:-284.08483177454036  B:-637.3762924057555  C:-525.8997483590184  y_true:гипер.  y_pred:гипер.
 A:-398.64274983539417  B:-690.289081614394  C:-529.3111157925127  y_true:гипер.  y_pred:гипер.
 A:-364.2773820627434  B:-548.6804105104255  C:536.6557674854799  y_true:гипер.  y_pred:гипер.
 A:-594.3489561554094  B:522.1056933963912  C:-659.296747262752  y_true:эллипс  y_pred:эллипс
 A:-826.9708644116997  B:-799.0347076144761  C:-448.0620304156182  y_true:гипер.  y_pred:гипер.
 A:393.50877360210654  B:-248.86971139906456  C:-808.6691014316369  y_true:гипер.  y_pred:гипер.
 A:-458.5713311143074  B:742.1598270986465  C:555.7525261450231  y_true:гипер.  y_pred:гипер.
 A:-679.2950511606122  B:110.42610636164652  C:162.34996868126527  y_true:гипер.  y_pred:гипер.
 A:887.6775455117559  B:-768.1616417889128  C:-505.75322914132516  y_true:гипер.  y_pred:гипер.
 A:-159.28145106670934  B:731.8330397009378  C:-590.7681725509785  y_true:гипер.  y_pred:гипер.
 A:703.3212584637782  B:-946.306301381732  C:-333.85201338169134  y_true:гипер.  y_pred:гипер.
 A:941.8602399724169  B:173.55038919808118  C:742.1856777167519  y_true:эллипс  y_pred:эллипс
 A:885.325851763821  B:38.9630926737845  C:-383.35509452925123  y_true:гипер.  y_pred:гипер.
 A:-594.6406769432743  B:-358.4020109016208  C:336.65215551436756  y_true:гипер.  y_pred:гипер.
 A:-26.075210606874457  B:-338.8045079424469  C:-136.1288609696487  y_true:гипер.  y_pred:гипер.
 A:841.1851979853593  B:182.12541067910638  C:450.8837723131074  y_true:эллипс  y_pred:эллипс
 A:-821.3767124255544  B:-749.648804686734  C:-443.15632830069785  y_true:гипер.  y_pred:гипер.
 A:-432.0128178601581  B:858.0861797921817  C:100.46950828066947  y_true:гипер.  y_pred:гипер.
 A:-212.2149841195926  B:232.91942280098965  C:-322.7558995575308  y_true:эллипс  y_pred:эллипс
 A:661.6127235833238  B:-215.64677694215862  C:467.9017210807641  y_true:эллипс  y_pred:эллипс
 A:717.2023528261514  B:826.082950093417  C:-633.6067859596908  y_true:гипер.  y_pred:гипер.
 A:-264.89976351387503  B:-126.38958966506931  C:508.6372137325035  y_true:гипер.  y_pred:гипер.
 A:501.7900905287782  B:-285.7989466541373  C:-282.36865095220696  y_true:гипер.  y_pred:гипер.
 A:604.4420472321002  B:992.5134876670594  C:-128.71549228803204  y_true:гипер.  y_pred:гипер.
 A:780.168238649123  B:287.961351166542  C:-950.9282907745826  y_true:гипер.  y_pred:гипер.
 A:574.8371889550637  B:530.0084469128869  C:-584.9842308542032  y_true:гипер.  y_pred:гипер.
 A:-762.4669216270779  B:109.95302213532997  C:188.2748320158263  y_true:гипер.  y_pred:гипер.
 A:-911.3144345639921  B:72.7313317062661  C:-846.8193665790351  y_true:эллипс  y_pred:эллипс
 A:-387.7228149626044  B:-808.96417249962  C:-325.3083121534672  y_true:гипер.  y_pred:гипер.
 A:-32.24652648270299  B:364.8270938478415  C:-259.9938931618453  y_true:гипер.  y_pred:гипер.
 A:262.83251247701236  B:-713.4720419444856  C:-365.511181751824  y_true:гипер.  y_pred:гипер.
 A:-769.7333498022947  B:-671.0758430453471  C:647.4052736873907  y_true:гипер.  y_pred:гипер.
 A:-976.3380612265424  B:136.221317188963  C:-948.5101680408475  y_true:эллипс  y_pred:эллипс
